filename,waviness
step-2_IMG_7148.jpg,0.70
step-2_IMG_7149.jpg,0.75
step-2_IMG_7187.jpg,0.50
step-2_IMG_7188.jpg,0.30
step-2_IMG_7189.jpg,0.30
step-2_IMG_7192.jpg,0.10
step-2_IMG_7193.jpg,0.05
step-2_IMG_7194.jpg,0.00
step-2_IMG_7195.jpg,0.00
step-2_IMG_7196.jpg,0.10
step-2_IMG_7197.jpg,0.05
step-2_IMG_7199.jpg,0.15
step-2_IMG_7200.jpg,0.10
step-2_IMG_7201.jpg,0.10
step-2_IMG_7204.jpg,0.15
step-2_IMG_7205.jpg,0.40
step-2_IMG_7206.jpg,0.05
step-2_IMG_7207.jpg,0.10
step-2_IMG_7215.jpg,0.25
step-2_IMG_7216.jpg,0.40
step-2_IMG_7217.jpg,0.05
step-2_IMG_7218.jpg,0.20
step-2_IMG_7219.jpg,0.60
step-2_IMG_7220.jpg,0.60
step-2_IMG_7221.jpg,0.10
step-2_IMG_7223.jpg,0.70
step-2_IMG_7224.jpg,0.65
step-2_IMG_7225.jpg,0.05
step-2_IMG_7229.jpg,0.30
step-2_IMG_7230.jpg,0.50
step-2_IMG_7231.jpg,0.05
step-2_IMG_7232.jpg,0.50
step-2_IMG_7238.jpg,0.50
step-2_IMG_7239.jpg,0.50
step-2_IMG_7240.jpg,0.20
step-2_IMG_7244.jpg,0.60
step-2_IMG_7250.jpg,0.60
step-2_IMG_7251.jpg,0.80
step-2_IMG_7252.jpg,0.70
step-2_IMG_7253.jpg,0.80
step-2_IMG_7254.jpg,0.70
step-2_IMG_7255.jpg,0.80
step-2_IMG_7256.jpg,0.70
step-2_IMG_7257.jpg,0.40
step-2_IMG_7258.jpg,0.30
step-2_IMG_7259.jpg,0.30
step-2_IMG_7260.jpg,0.30
step-2_IMG_7261.jpg,0.00
step-2_IMG_7274.jpg,0.90
step-2_IMG_7305.jpg,0.30
step-2_IMG_7306.jpg,0.05
step-2_IMG_7311.jpg,0.75
step-2_IMG_7321.jpg,0.90
step-2_IMG_7322.jpg,0.70
step-2_IMG_7335.jpg,0.20
